name,arrival,wait,service_start
Pax_99,43.041855744426,7.1496061071947,50.1914618516207
Pax_100,43.339515419714324,6.8850621656640385,50.22457758537836
Pax_101,43.61350374766451,7.369804884404616,50.983308632069125
Pax_102,43.75721576579223,7.913500349457664,51.670716115249895
Pax_103,45.04091834632644,7.066548237296303,52.107466583622745
Pax_104,45.44053378342802,7.681194123326776,53.1217279067548
Pax_105,46.34456231693425,6.987388386150812,53.33195070308506
Pax_106,48.081385991451576,5.690543289824731,53.77192928127631
Pax_107,48.1723334817092,6.174798162637913,54.347131644347115
Pax_108,48.50475051053052,6.349117247297826,54.85386775782835
Pax_109,48.62498902849682,6.698783102841041,55.32377213133786
Pax_110,48.88126950324125,7.31608295032872,56.19735245356997
Pax_111,48.911481880372115,7.499997787948189,56.411479668320304
